I
1100 Generated by WorldEditor 2.2.0r2

17     42 0 0 BGAG [H] Aappilattoq (Avannaata)
102 H1  72.88701870 -055.59622760  65.78 30.00 20.00 5 0 0 0.00 0
130 Airport Boundary
111  72.88705135 -055.59688179
111  72.88701870 -055.59696356
111  72.88697831 -055.59700737
111  72.88694049 -055.59701321
111  72.88687862 -055.59702197
111  72.88682534 -055.59690807
111  72.88681416 -055.59672700
111  72.88685541 -055.59652549
111  72.88689065 -055.59636487
111  72.88691385 -055.59610787
111  72.88693190 -055.59584795
111  72.88696627 -055.59555883
111  72.88698776 -055.59536900
111  72.88701182 -055.59523758
111  72.88709432 -055.59540989
111  72.88715448 -055.59566397
111  72.88716393 -055.59589176
111  72.88715448 -055.59605823
113  72.88710120 -055.59647293
14  72.88687002 -055.59676497   6.56 0 Tower Viewpoint
19  72.88694056 -055.59697545 0 Windsock
99
